Time,_18_Large_Cage_Free_Eggs_900g,_Unsweetened_Almond_Life_Milk_UHT_1L,_Lactose_Lite_Long_Life_Milk_UHT_1L,_Red_Onions_Bag_1kg,_Onion_Brown_Bag_1kg,Heinz_Ravioli_With_Creamy_Tomato_350g,Dolmio_Herbs_Tomato_Pasta_Sauce_500g,_Chicken_Tikka_Masala_With_Rice_350g,Leggos_Sundried_Tomato_Pesto_190g
13/5/2025,8.70,2.00,1.90,4.50,3.60,5.30,2.30,4.00,5.30
14/5/2025,8.70,2.00,1.90,4.50,3.60,5.30,2.30,4.00,5.30
15/5/2025,8.70,2.00,1.90,4.50,3.60,5.30,2.30,4.00,5.30
16/5/2025,8.70,2.00,1.90,4.50,3.60,5.30,2.30,4.00,5.30
17/5/2025,8.70,2.00,1.90,4.50,3.60,5.30,2.30,4.00,5.30
18/5/2025,8.70,2.00,1.90,4.50,3.60,5.30,2.30,4.00,5.30
19/5/2025,8.70,2.00,1.90,4.50,3.60,5.30,2.30,4.00,5.30
20/5/2025,8.70,2.00,1.90,4.50,3.60,4.00,4.60,3.60,4.30
21/5/2025,8.70,2.00,1.90,4.50,3.60,4.00,4.60,3.60,4.30
22/5/2025,8.70,2.00,1.90,4.50,3.60,4.00,4.60,3.60,4.30
23/5/2025,8.70,2.00,1.90,4.50,3.60,4.00,4.60,3.60,4.30
24/5/2025,8.70,2.00,1.90,4.50,3.60,4.00,4.60,3.60,4.30
25/5/2025,8.70,2.00,1.90,4.50,3.60,4.00,4.60,3.60,4.30
26/5/2025,8.70,2.00,1.90,4.50,3.60,4.00,4.60,3.60,4.30
27/5/2025,8.70,2.00,1.90,5.50,3.60,5.30,2.75,4.50,4.30
28/5/2025,8.70,2.00,1.90,5.50,3.60,5.30,2.75,4.50,4.30
29/5/2025,8.70,2.00,1.90,5.50,3.60,5.30,2.75,4.50,4.30
30/5/2025,8.70,2.00,1.90,5.50,3.60,5.30,2.75,4.50,4.30
31/5/2025,8.70,2.00,1.90,5.50,3.60,5.30,2.75,4.50,4.30
1/6/2025,8.70,2.00,1.90,5.50,3.60,5.30,2.75,4.50,4.30
2/6/2025,8.70,2.00,1.90,5.50,3.60,5.30,2.75,4.50,4.30
3/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
4/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
5/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
6/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
7/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
8/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
9/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
10/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
11/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
12/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
13/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
14/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
15/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
16/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
17/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
18/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
19/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
20/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
21/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
22/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
23/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
24/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
25/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
26/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
27/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
28/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
29/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
30/6/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
1/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
2/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
3/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
4/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
5/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
6/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
7/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
8/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
9/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
10/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
11/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
12/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
13/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
14/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
15/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
